repo_url,default_score,depsdev_dependent_count,legacy_closed_issues_count,legacy_commit_frequency,legacy_contributor_count,legacy_created_since,legacy_github_mention_count,legacy_issue_comment_frequency,legacy_org_count,legacy_recent_release_count,legacy_updated_issues_count,legacy_updated_since,repo_created_at,repo_language,repo_license,repo_star_count,repo_updated_at
https://github.com/mandiant/Vulnerability-Disclosures,0.36406,,10,0.58,8,51,1,1.7,4,0,10,0,2019-11-01T17:15:48Z,C++,,164,2024-01-13T15:02:39Z
https://github.com/flatpak/flatpak,0.70912,,3532,2.96,223,111,4470,3.74,6,10,4577,0,2014-12-17T14:28:07Z,C,GNU Lesser General Public License v2.1,3961,2024-01-12T13:32:22Z
https://github.com/git/git,0.89954,,963,53.04,2175,229,51831284,16.35,5,49,1125,0,2005-04-07T22:13:13Z,C,Other,48645,2024-01-30T20:33:02Z
https://github.com/github/securitylab,0.5492,,444,0.52,32,69,30,6.08,6,4,470,3,2018-05-30T11:38:41Z,C,MIT License,1294,2023-10-23T16:28:17Z
https://github.com/google/asylo,0.49095,,58,0,42,70,106,2.6,2,6,77,21,2018-04-25T16:43:56Z,C++,Apache License 2.0,959,2022-04-12T19:13:42Z
https://github.com/gpac/gpac,0.66999,,1963,15.87,103,225,2056,2.58,8,1,1992,0,2005-07-13T14:37:22Z,C,GNU Lesser General Public License v2.1,2446,2024-01-30T13:29:01Z
https://github.com/ImageMagick/ImageMagick,0.76057,,2308,21.38,171,175,25916,3.66,6,30,2412,0,2009-09-05T21:47:34Z,C,Other,10604,2024-01-30T19:01:59Z
https://github.com/ImageMagick/ImageMagick6,0.63144,,194,11.58,49,175,606,2.29,6,25,246,0,2009-09-05T21:47:34Z,C,Other,182,2024-01-30T19:01:13Z
https://github.com/jerryscript-project/jerryscript,0.53851,,2855,0.13,122,116,108,1.2,3,0,3040,1,2014-07-01T11:51:35Z,C,Apache License 2.0,6768,2023-12-15T11:12:59Z
https://github.com/libexpat/libexpat,0.65657,1,637,5.42,102,319,5140,2.39,7,2,656,0,1997-11-04T05:43:52Z,C,MIT License,945,2024-01-30T21:54:37Z
https://github.com/libming/libming,0.52427,,40,0,38,279,4938,0.55,5,0,209,42,2001-02-01T01:00:55Z,C,GNU Lesser General Public License v2.1,104,2020-07-23T05:13:14Z
https://github.com/LibRaw/LibRaw,0.5515,,508,0.48,50,162,1775,3.51,1,1,518,0,2010-10-03T15:25:03Z,C++,Other,1016,2024-01-16T14:01:30Z
https://github.com/mandiant/Vulnerability-Disclosures,0.36406,,10,0.58,8,51,1,1.7,4,0,10,0,2019-11-01T17:15:48Z,C++,,164,2024-01-13T15:02:39Z
https://github.com/matthiaskramm/swftools,0.45159,,43,0,30,271,16,0.81,6,0,177,25,2001-10-18T10:31:20Z,C,GNU General Public License v2.0,250,2021-12-16T14:29:31Z
https://github.com/jasper-software/jasper,0.59707,,244,0.71,31,89,1163,3.33,8,5,248,0,2016-09-16T18:52:32Z,C,Other,199,2024-01-20T20:40:12Z
https://github.com/michaelrsweet/htmldoc,0.44746,,182,0.56,10,304,12,3.07,2,1,201,4,1999-02-02T03:55:36Z,C++,GNU General Public License v2.0,191,2023-09-18T01:33:38Z
https://github.com/Moddable-OpenSource/moddable,0.62526,,961,24.87,67,76,60,4.18,5,15,1024,0,2017-10-17T04:08:41Z,C,,1234,2024-01-23T22:20:07Z
https://github.com/mozilla-mobile/mozilla-vpn-client,0.57531,,8089,23.87,53,42,25,1.64,3,16,9015,0,2020-08-15T07:01:30Z,C++,Other,407,2024-01-30T19:37:11Z
https://github.com/neutrinolabs/xrdp,0.67459,,1574,6,125,238,1816,4.72,5,5,1855,0,2004-07-09T02:33:57Z,C,Apache License 2.0,5076,2024-01-22T17:24:19Z
https://github.com/nextcloud/desktop,0.77298,,5287,31.85,304,193,1719,4.77,10,26,6287,0,2008-02-27T17:56:47Z,C++,GNU General Public License v2.0,2720,2024-01-30T08:49:59Z
https://github.com/nothings/stb,0.59964,,735,0.33,214,117,1329,2.4,4,0,981,1,2014-05-25T16:51:23Z,C,Other,24386,2023-12-14T18:59:23Z
https://github.com/nu11secur1ty/CVE-mitre,0.27899,,7,5.83,1,37,2,1.43,0,0,7,1,2021-01-11T10:51:45Z,C,,113,2023-12-04T13:47:12Z
https://github.com/nu11secur1ty/CVE-nu11secur1ty,0.26798,,4,23.81,1,35,0,1,0,0,4,0,2021-02-28T07:13:15Z,C,,44,2024-01-28T15:55:38Z
